,SampleDate,N Gene gc/g dry weight,N Gene gc/g dry weight UCI,N Gene gc/g dry weight LCI,PMMoV gc/g dry weight,PMMoV gc/g dry weight UCI,PMMoV gc/g dry weight LCI,BCoV Recovery,BCoV Recovery UCI,BCoV Recovery LCI,N_norm_PMMoV,City
87,2022-07-09,523773.143489901,595517.839684086,449046.907432352,1884593997.26048,2097390332.04756,1678477876.89002,1.5197,1.70674,1.34602,0.0002779235974704781,Merced
88,2022-07-10,,,,,,,,,,,Merced
89,2022-07-11,497049.04532846,524538.940026847,469565.125817067,1822004924.62941,1844919082.4121,1798711296.50966,1.28256,1.45624,1.10888,0.0002728033489972911,Merced
90,2022-07-12,644020.133709298,957426.8124543,356958.739444959,1776887261.28334,1858616309.43483,1699385503.36518,1.33266,1.51636,1.16566,0.0003624428784773664,Merced
91,2022-07-13,735437.187992449,813173.135937143,658250.073108598,2040670045.22138,2238001559.44205,1862859923.50241,1.6867,1.92718,1.46626,0.0003603900540974844,Merced
92,2022-07-14,649712.441618157,850007.469335656,447945.043838294,1720245959.9809,2091795984.97628,1397869745.87602,1.18904,1.53306,0.87508,0.0003776857825757491,Merced
93,2022-07-15,,,,,,,,,,,Merced
94,2022-07-16,170282.964245298,182708.599760778,159191.299569627,850564429.70776,887575269.316809,814622349.688381,1.21242,1.36272,1.07548,0.00020019995934206236,Merced
95,2022-07-17,,,,,,,,,,,Merced
96,2022-07-18,194190.28321761,216671.867996623,169670.355713965,621254612.917995,670451788.077063,571465451.324319,0.69472,0.81162,0.59118,0.00031257761178707404,Merced
97,2022-07-19,311784.734424623,403098.880336286,238676.312926628,1103188698.62733,1264058149.92499,960309328.639356,0.8183,1.002,0.64128,0.0002826213999586552,Merced
98,2022-07-20,562530.145637778,729991.057464432,396688.95412245,1980321426.77695,2137731148.98906,1848265516.45829,1.13894,1.34602,0.92852,0.00028406002077820147,Merced
99,2022-07-21,559171.820984468,688949.821535846,410792.435620544,1586753647.93907,1702878479.97361,1462643876.39506,0.7515,0.92852,0.55778,0.00035239989629816794,Merced
100,2022-07-22,,,,,,,,,,,Merced
101,2022-07-23,498113.510609622,689235.243067949,348540.985565197,2022496365.64116,2218421504.78915,1825418035.5413,1.11222,1.24248,0.99198,0.00024628647995207295,Merced
102,2022-07-24,,,,,,,,,,,Merced
103,2022-07-25,,,,,,,,,,,Merced
104,2022-07-26,136466.270791129,166478.951196237,106511.025726232,1202513609.63716,1631218845.00774,832162315.733815,0.77154,0.89846,0.6513,0.00011348417988575248,Merced
105,2022-07-27,682552.600480977,1166810.08787029,259816.822605064,1425353499.43357,1602310335.39234,1257800868.06819,0.78824,0.90848,0.67802,0.00047886548898376497,Merced
106,2022-07-28,400065.065769873,480195.438907401,334292.745403678,1366567663.41664,1562445452.61276,1203984866.44949,0.49432,0.58784,0.41082,0.00029275174327603046,Merced
107,2022-07-29,,,,,,,,,,,Merced
108,2022-07-30,320704.426162419,351839.111418228,292526.399237404,1489154249.07961,1622808184.59133,1377029291.37476,0.685,0.801,0.588,0.00021536011219833962,Merced
109,2022-07-31,,,,,,,,,,,Merced
110,2022-08-01,,,,,,,,,,,Merced
111,2022-08-02,498621.190673293,539252.960520138,448792.869318635,1961840962.48035,2100163982.9191,1817755922.45928,1.121,1.302,0.957,0.0002541598428258362,Merced
112,2022-08-03,312037.727636923,335043.023732737,288364.432984859,3202981885.55587,3506578613.23226,2875650576.19694,0.669,0.751,0.593,9.74210091677648e-05,Merced
113,2022-08-04,392428.528165798,414576.36407586,370284.306075842,2559004745.98529,2708953900.67984,2403387395.35723,0.934,1.039,0.829,0.0001533520126453309,Merced
114,2022-08-05,,,,,,,,,,,Merced
115,2022-08-06,441952.890665637,483822.908579063,402476.261111515,3048488899.77998,3190137790.52965,2922991444.6165,1.327,1.481,1.184,0.00014497441361768914,Merced
116,2022-08-07,,,,,,,,,,,Merced
117,2022-08-08,,,,,,,,,,,Merced
118,2022-08-09,281022.088747938,296933.053451143,265113.563320957,1370507429.35999,1392046751.08279,1348994964.48187,0.897,1.003,0.798,0.00020504966461887175,Merced
119,2022-08-10,184183.560245084,197951.094986673,169655.386536216,1441384219.86592,1477112151.99215,1406514585.59787,1.201,1.319,1.083,0.0001277824175584613,Merced
120,2022-08-11,210988.796800311,225412.829240371,196567.008751997,1636835978.35152,1754173257.68513,1521897145.81436,1.453,1.665,1.248,0.00012890039050387976,Merced
121,2022-08-12,,,,,,,,,,,Merced
122,2022-08-13,307792.617373061,328001.64497701,287586.494041026,2758356832.48978,2796055675.98963,2718921931.41035,1.204,1.331,1.08,0.0001115854967521507,Merced
123,2022-08-14,,,,,,,,,,,Merced
